"";"Row";"z.value";"posterior";"local.fdr"
"ENSG00000163513";12461;-10,6774915026706;1;0
"ENSG00000213085";2296;10,6635521424924;1;0
"ENSG00000159176";3243;-10,6625171016922;1;0
"ENSG00000129757";2603;-10,6612874453905;1;0
"ENSG00000114698";9402;-10,6592652438546;1;0
"ENSG00000158186";7766;-10,6586285877279;1;0
"ENSG00000010319";11030;-10,6527234111742;1;0
"ENSG00000186081";6788;-10,6467896857085;1;0
"ENSG00000111247";10128;10,6448872186541;1;0
"ENSG00000134138";7522;-10,643508365638;1;0
"ENSG00000107104";6395;-10,6432864863945;1;0
"ENSG00000146374";10766;-10,6251368983864;1;0
"ENSG00000178531";3303;10,6233342338018;1;0
"ENSG00000137878";5131;-10,6053979359475;1;0
"ENSG00000106462";4372;10,6035835602105;1;0
"ENSG00000065600";12725;10,5944550378495;1;0
"ENSG00000064300";8315;-10,5780243267157;1;0
"ENSG00000240583";698;-10,5720917259764;1;0
"ENSG00000205364";7889;-10,5689564843921;1;0
"ENSG00000100146";11786;-10,5667420026671;1;0
"ENSG00000109906";13884;-10,5647848337054;1;0
"ENSG00000197766";2701;-10,5644776105058;1;0
"ENSG00000148541";4472;-10,562430855765;1;0
"ENSG00000182481";6764;10,5621342944831;1;0
"ENSG00000143867";8727;-10,5620135643519;1;0
"ENSG00000162814";11824;10,5534585327632;1;0
"ENSG00000198643";4567;-10,5509368886358;1;0
"ENSG00000135074";216;10,5460604012686;1;0
"ENSG00000090530";6905;-10,5434755256075;1;0
"ENSG00000166025";500;-10,5399512512269;1;0
"ENSG00000077264";8806;-10,5367751101878;1;0
"ENSG00000100479";9474;10,5360581755363;1;0
"ENSG00000163239";12387;-10,5286560833835;1;0
"ENSG00000131471";618;-10,5237190883721;1;0
"ENSG00000116194";521;-10,5145597587167;1;0
"ENSG00000077616";8070;-10,4932748879716;1;0
"ENSG00000071539";13074;10,4852226802947;1;0
"ENSG00000088992";12416;-10,4820146010077;1;0
"ENSG00000154262";46;-10,4709611606485;1;0
"ENSG00000123689";5022;-10,4643505914776;1;0
